Country or territory (Territories without full sovereignty in italics) [2] ,Total length of land borders ,Total length of land borders ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
Country or territory (Territories without full sovereignty in italics) [2] ,km[3] ,mi ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
 Mozambique ,"4,571 ","2,840 ",6 ,6 ,"Includes:  Eswatini (Swaziland): 105 km (65 mi) Malawi: 1,569 km (975 mi) South Africa (2): 491 km (305 mi) Tanzania: 756 km (470 mi) Zambia: 419 km (260 mi) Zimbabwe: 1,231 km (765 mi) "
 Myanmar ,"5,876 ","3,651 ",5 ,5 ,"Includes:  Bangladesh: 193 km (120 mi) People's Republic of China: 2,185 km (1,358 mi) India: 1,463 km (909 mi) Laos: 235 km (146 mi) Thailand: 1,800 km (1,100 mi) "
 Namibia ,"3,936 ","2,446 ",4 ,4 ,"Includes:  Angola: 1,376 km (855 mi) Botswana: 1,360 km (850 mi) South Africa: 967 km (601 mi) Zambia: 233 km (145 mi) "
 Nauru ,0 ,0 ,0 ,0 , 
   Nepal ,"2,926 ","1,818 ",2 ,2 ,"Includes:  People's Republic of China: 1,236 km (768 mi) India: 1,690 km (1,050 mi) "
 Netherlands[38] ,"1,027 ",638 ,32 ,2 ,Includes:  Belgium (31):[13] 450 km (280 mi) Germany: 577 km (359 mi) 
" Netherlands, Kingdom of the →includes: → Aruba→ Curaçao→ Netherlands (including Caribbean Netherlands)→ Sint Maarten ","1,037 ",644 ,33 ,3 ,Includes:  Belgium (31): 450 km (280 mi) Germany: 577 km (359 mi) Saint Martin[39] (France): 10.2 km (6.3 mi) 
 New Zealand ,0 ,0 ,0 ,0 , 
 Nicaragua ,"1,231 ",765 ,2 ,2 ,Includes:  Costa Rica: 309 km (192 mi) Honduras: 922 km (573 mi) 
 Niger ,"5,697 ","3,540 ",7 ,7 ,"Includes:  Algeria: 956 km (594 mi) Benin: 266 km (165 mi) Burkina Faso: 628 km (390 mi) Chad: 1,175 km (730 mi) Libya: 354 km (220 mi) Mali: 821 km (510 mi) Nigeria: 1,497 km (930 mi) "
 Nigeria ,"4,047 ","2,515 ",4 ,4 ,"Includes:  Benin: 773 km (480 mi) Cameroon: 1,690 km (1,050 mi) Chad: 87 km (54 mi) Niger: 1,497 km (930 mi) "
 North Macedonia ,766 ,476 ,5 ,5 ,Includes:  Albania: 151 km (94 mi) Bulgaria: 148 km (92 mi) Greece: 246 km (153 mi) Kosovo:[4] 159 km (99 mi) Serbia: 62 km (39 mi) 
 Norway ,"2,551 ","1,585 ",3 ,3 ,"Includes:  Finland: 736 km (457 mi) Sweden: 1,619 km (1,006 mi) Russia: 196 km (122 mi) "
 Oman ,"1,374 ",854 ,6 ,3 ,Includes:  Saudi Arabia: 676 km (420 mi) United Arab Emirates (4): 410 km (250 mi) Yemen: 288 km (179 mi) 
 Pakistan ,"6,774 ","4,209 ",4 (3) ,4 (3) ,"Includes:  Afghanistan: 2,430 km (1,510 mi) People's Republic of China:[20] 523 km (325 mi) India: 2,912 km (1,809 mi) Iran: 909 km (565 mi) "
 Palestine[25] ,466 ,290 ,3 ,3 ,Includes:  Egypt: 11 km (6.8 mi) Israel: 358 km (222 mi) Jordan: 97 km (60 mi) 
 Palau ,0 ,0 ,0 ,0 , 
